Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Apr 20 2024,1:00p,Orlando Magic,83,Cleveland Cavaliers,97,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Sat Apr 20 2024,3:30p,Phoenix Suns,95,Minnesota Timberwolves,120,Box Score,,19478,Target Center,1
Sat Apr 20 2024,6:00p,Philadelphia 76ers,104,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),1
Sat Apr 20 2024,8:30p,Los Angeles Lakers,103,Denver Nuggets,114,Box Score,,19731,Ball Arena,1
Sun Apr 21 2024,1:00p,Miami Heat,94,Boston Celtics,114,Box Score,,19156,TD Garden,1
Sun Apr 21 2024,3:30p,Dallas Mavericks,97,Los Angeles Clippers,109,Box Score,,19370,Crypto.com Arena,1
Sun Apr 21 2024,7:00p,Indiana Pacers,94,Milwaukee Bucks,109,Box Score,,17341,Fiserv Forum,1
Sun Apr 21 2024,9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,94,Box Score,,18203,Paycom Center,1
Mon Apr 22 2024,7:00p,Orlando Magic,86,Cleveland Cavaliers,96,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Mon Apr 22 2024,7:30p,Philadelphia 76ers,101,New York Knicks,104,Box Score,,19812,Madison Square Garden (IV),1
Mon Apr 22 2024,10:00p,Los Angeles Lakers,99,Denver Nuggets,101,Box Score,,19711,Ball Arena,1
Tue Apr 23 2024,7:30p,Phoenix Suns,93,Minnesota Timberwolves,105,Box Score,,19310,Target Center,1
Tue Apr 23 2024,8:30p,Indiana Pacers,125,Milwaukee Bucks,108,Box Score,,17683,Fiserv Forum,1
Tue Apr 23 2024,10:00p,Dallas Mavericks,96,Los Angeles Clippers,93,Box Score,,19370,Crypto.com Arena,1
Wed Apr 24 2024,7:00p,Miami Heat,111,Boston Celtics,101,Box Score,,19156,TD Garden,1
Wed Apr 24 2024,9:30p,New Orleans Pelicans,92,Oklahoma City Thunder,124,Box Score,,18203,Paycom Center,1
Thu Apr 25 2024,7:00p,Cleveland Cavaliers,83,Orlando Magic,121,Box Score,,18846,Kia Center,1
Thu Apr 25 2024,7:30p,New York Knicks,114,Philadelphia 76ers,125,Box Score,,21116,Wells Fargo Center,1
Thu Apr 25 2024,10:00p,Denver Nuggets,112,Los Angeles Lakers,105,Box Score,,18997,Crypto.com Arena,1
Fri Apr 26 2024,5:30p,Milwaukee Bucks,118,Indiana Pacers,121,Box Score,OT,17274,Gainbridge Fieldhouse,1
Fri Apr 26 2024,8:00p,Los Angeles Clippers,90,Dallas Mavericks,101,Box Score,,20402,American Airlines Center,1
Fri Apr 26 2024,10:30p,Minnesota Timberwolves,126,Phoenix Suns,109,Box Score,,17071,Footprint Center,1
Sat Apr 27 2024,1:00p,Cleveland Cavaliers,89,Orlando Magic,112,Box Score,,18933,Kia Center,1
Sat Apr 27 2024,3:30p,Oklahoma City Thunder,106,New Orleans Pelicans,85,Box Score,,18659,Smoothie King Center,1
Sat Apr 27 2024,6:00p,Boston Celtics,104,Miami Heat,84,Box Score,,20092,Kaseya Center,1
Sat Apr 27 2024,8:30p,Denver Nuggets,108,Los Angeles Lakers,119,Box Score,,18997,Crypto.com Arena,1
Sun Apr 28 2024,1:00p,New York Knicks,97,Philadelphia 76ers,92,Box Score,,21048,Wells Fargo Center,1
Sun Apr 28 2024,3:30p,Los Angeles Clippers,116,Dallas Mavericks,111,Box Score,,20411,American Airlines Center,1
Sun Apr 28 2024,7:00p,Milwaukee Bucks,113,Indiana Pacers,126,Box Score,,17274,Gainbridge Fieldhouse,1
Sun Apr 28 2024,9:30p,Minnesota Timberwolves,122,Phoenix Suns,116,Box Score,,17071,Footprint Center,1
Mon Apr 29 2024,7:30p,Boston Celtics,102,Miami Heat,88,Box Score,,19600,Kaseya Center,1
Mon Apr 29 2024,8:30p,Oklahoma City Thunder,97,New Orleans Pelicans,89,Box Score,,18487,Smoothie King Center,1
Mon Apr 29 2024,10:00p,Los Angeles Lakers,106,Denver Nuggets,108,Box Score,,19861,Ball Arena,1
Tue Apr 30 2024,7:00p,Philadelphia 76ers,112,New York Knicks,106,Box Score,OT,19812,Madison Square Garden (IV),1
Tue Apr 30 2024,8:00p,Orlando Magic,103,Cleveland Cavaliers,104,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Tue Apr 30 2024,9:30p,Indiana Pacers,92,Milwaukee Bucks,115,Box Score,,17341,Fiserv Forum,1
Wed May 1 2024,7:30p,Miami Heat,84,Boston Celtics,118,Box Score,,19156,TD Garden,1
Wed May 1 2024,10:00p,Dallas Mavericks,123,Los Angeles Clippers,93,Box Score,,19370,Crypto.com Arena,1
Thu May 2 2024,6:30p,Milwaukee Bucks,98,Indiana Pacers,120,Box Score,,17274,Gainbridge Fieldhouse,1
Thu May 2 2024,9:00p,New York Knicks,118,Philadelphia 76ers,115,Box Score,,21093,Wells Fargo Center,1
Fri May 3 2024,7:00p,Cleveland Cavaliers,96,Orlando Magic,103,Box Score,,19193,Kia Center,1
Fri May 3 2024,9:30p,Los Angeles Clippers,101,Dallas Mavericks,114,Box Score,,20625,American Airlines Center,1
Sat May 4 2024,7:00p,Minnesota Timberwolves,106,Denver Nuggets,99,Box Score,,19915,Ball Arena,1
Sun May 5 2024,1:00p,Orlando Magic,94,Cleveland Cavaliers,106,Box Score,,19432,Rocket Mortgage Fieldhouse,1
Mon May 6 2024,7:30p,Indiana Pacers,117,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV),1
Mon May 6 2024,10:00p,Minnesota Timberwolves,106,Denver Nuggets,80,Box Score,,19942,Ball Arena,2
Tue May 7 2024,7:00p,Cleveland Cavaliers,95,Boston Celtics,120,Box Score,,19156,TD Garden,2
Tue May 7 2024,9:30p,Dallas Mavericks,95,Oklahoma City Thunder,117,Box Score,,18203,Paycom Center,2
Wed May 8 2024,8:00p,Indiana Pacers,121,New York Knicks,130,Box Score,,19812,Madison Square Garden (IV),2
Thu May 9 2024,7:00p,Cleveland Cavaliers,118,Boston Celtics,94,Box Score,,19156,TD Garden,2
Thu May 9 2024,9:30p,Dallas Mavericks,119,Oklahoma City Thunder,110,Box Score,,18203,Paycom Center,2
Fri May 10 2024,7:00p,New York Knicks,106,Indiana Pacers,111,Box Score,,17274,Gainbridge Fieldhouse,2
Fri May 10 2024,9:30p,Denver Nuggets,117,Minnesota Timberwolves,90,Box Score,,19733,Target Center,2
Sat May 11 2024,3:30p,Oklahoma City Thunder,101,Dallas Mavericks,105,Box Score,,20325,American Airlines Center,2
Sat May 11 2024,8:30p,Boston Celtics,106,Cleveland Cavaliers,93,Box Score,,19432,Rocket Mortgage Fieldhouse,2
Sun May 12 2024,3:30p,New York Knicks,89,Indiana Pacers,121,Box Score,,17274,Gainbridge Fieldhouse,2
Sun May 12 2024,8:00p,Denver Nuggets,115,Minnesota Timberwolves,107,Box Score,,19583,Target Center,2
Mon May 13 2024,7:00p,Boston Celtics,109,Cleveland Cavaliers,102,Box Score,,19432,Rocket Mortgage Fieldhouse,2
Mon May 13 2024,9:30p,Oklahoma City Thunder,100,Dallas Mavericks,96,Box Score,,20607,American Airlines Center,2
Tue May 14 2024,8:00p,Indiana Pacers,91,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV),2
Tue May 14 2024,10:30p,Minnesota Timberwolves,97,Denver Nuggets,112,Box Score,,19992,Ball Arena,2
Wed May 15 2024,7:00p,Cleveland Cavaliers,98,Boston Celtics,113,Box Score,,19156,TD Garden,2
Wed May 15 2024,9:30p,Dallas Mavericks,104,Oklahoma City Thunder,92,Box Score,,18203,Paycom Center,2
Thu May 16 2024,8:30p,Denver Nuggets,70,Minnesota Timberwolves,115,Box Score,,19187,Target Center,2
Fri May 17 2024,8:30p,New York Knicks,103,Indiana Pacers,116,Box Score,,17274,Gainbridge Fieldhouse,2
Sat May 18 2024,8:00p,Oklahoma City Thunder,116,Dallas Mavericks,117,Box Score,,20555,American Airlines Center,2
Sun May 19 2024,3:30p,Indiana Pacers,130,New York Knicks,109,Box Score,,19812,Madison Square Garden (IV),2
Sun May 19 2024,8:00p,Minnesota Timberwolves,98,Denver Nuggets,90,Box Score,,20022,Ball Arena,2
Tue May 21 2024,8:00p,Indiana Pacers,128,Boston Celtics,133,Box Score,OT,19156,TD Garden,3
Wed May 22 2024,8:30p,Dallas Mavericks,108,Minnesota Timberwolves,105,Box Score,,19433,Target Center,3
Thu May 23 2024,8:00p,Indiana Pacers,110,Boston Celtics,126,Box Score,,19156,TD Garden,3
Fri May 24 2024,8:30p,Dallas Mavericks,109,Minnesota Timberwolves,108,Box Score,,19636,Target Center,3
Sat May 25 2024,8:30p,Boston Celtics,114,Indiana Pacers,111,Box Score,,17274,Gainbridge Fieldhouse,3
Sun May 26 2024,8:00p,Minnesota Timberwolves,107,Dallas Mavericks,116,Box Score,,20511,American Airlines Center,3
Mon May 27 2024,8:00p,Boston Celtics,105,Indiana Pacers,102,Box Score,,17274,Gainbridge Fieldhouse,3
Tue May 28 2024,8:30p,Minnesota Timberwolves,105,Dallas Mavericks,100,Box Score,,20477,American Airlines Center,3
Thu May 30 2024,8:30p,Dallas Mavericks,124,Minnesota Timberwolves,103,Box Score,,19333,Target Center,3
Thu Jun 6 2024,8:30p,Dallas Mavericks,89,Boston Celtics,107,Box Score,,19156,TD Garden,4
Sun Jun 9 2024,8:00p,Dallas Mavericks,98,Boston Celtics,105,Box Score,,19156,TD Garden,4
Wed Jun 12 2024,8:30p,Boston Celtics,106,Dallas Mavericks,99,Box Score,,20311,American Airlines Center,4
Fri Jun 14 2024,8:30p,Boston Celtics,,Dallas Mavericks,,,,,American Airlines Center,
