G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
31,Denver Nuggets,"Sat, Dec 23, 2023",7:00p,,Box Score,@,Charlotte Hornets,W,,102,95,21,10,W 4,
32,Denver Nuggets,"Mon, Dec 25, 2023",2:30p,,Box Score,,Golden State Warriors,W,,120,114,22,10,W 5,
33,Denver Nuggets,"Thu, Dec 28, 2023",9:00p,,Box Score,,Memphis Grizzlies,W,,142,105,23,10,W 6,
34,Denver Nuggets,"Fri, Dec 29, 2023",9:00p,,Box Score,,Oklahoma City Thunder,L,,93,119,23,11,L 1,
35,Denver Nuggets,"Mon, Jan 1, 2024",9:00p,,Box Score,,Charlotte Hornets,W,,111,93,24,11,W 1,
36,Denver Nuggets,"Thu, Jan 4, 2024",10:00p,,Box Score,@,Golden State Warriors,W,,130,127,25,11,W 2,
37,Denver Nuggets,"Fri, Jan 5, 2024",9:00p,,Box Score,,Orlando Magic,L,,120,122,25,12,L 1,
38,Denver Nuggets,"Sun, Jan 7, 2024",8:00p,,Box Score,,Detroit Pistons,W,,131,114,26,12,W 1,
39,Denver Nuggets,"Wed, Jan 10, 2024",10:00p,,Box Score,@,Utah Jazz,L,,111,124,26,13,L 1,
40,Denver Nuggets,"Fri, Jan 12, 2024",10:00p,,Box Score,,New Orleans Pelicans,W,,125,113,27,13,W 1,
41,Denver Nuggets,"Sun, Jan 14, 2024",3:30p,,Box Score,,Indiana Pacers,W,,117,109,28,13,W 2,
42,Denver Nuggets,"Tue, Jan 16, 2024",7:30p,,Box Score,@,Philadelphia 76ers,L,,121,126,28,14,L 1,
43,Denver Nuggets,"Fri, Jan 19, 2024",7:30p,,Box Score,@,Boston Celtics,W,,102,100,29,14,W 1,
44,Denver Nuggets,"Sun, Jan 21, 2024",6:00p,,Box Score,@,Washington Wizards,W,,113,104,30,14,W 2,
45,Denver Nuggets,"Tue, Jan 23, 2024",7:00p,,Box Score,@,Indiana Pacers,W,,114,109,31,14,W 3,
46,Denver Nuggets,"Thu, Jan 25, 2024",7:30p,,Box Score,@,New York Knicks,L,,84,122,31,15,L 1,
47,Denver Nuggets,"Sat, Jan 27, 2024",5:30p,,Box Score,,Philadelphia 76ers,W,,111,105,32,15,W 1,
48,Denver Nuggets,"Mon, Jan 29, 2024",9:00p,,Box Score,,Milwaukee Bucks,W,,113,107,33,15,W 2,
49,Denver Nuggets,"Wed, Jan 31, 2024",8:00p,,Box Score,@,Oklahoma City Thunder,L,,100,105,33,16,L 1,
50,Denver Nuggets,"Fri, Feb 2, 2024",9:00p,,Box Score,,Portland Trail Blazers,W,,120,108,34,16,W 1,
51,Denver Nuggets,"Sun, Feb 4, 2024",8:30p,,Box Score,,Portland Trail Blazers,W,,112,103,35,16,W 2,
52,Denver Nuggets,"Thu, Feb 8, 2024",10:00p,,Box Score,@,Los Angeles Lakers,W,,114,106,36,16,W 3,
53,Denver Nuggets,"Fri, Feb 9, 2024",10:00p,,Box Score,@,Sacramento Kings,L,,106,135,36,17,L 1,
54,Denver Nuggets,"Mon, Feb 12, 2024",8:00p,,Box Score,@,Milwaukee Bucks,L,,95,112,36,18,L 2,
55,Denver Nuggets,"Wed, Feb 14, 2024",9:00p,,Box Score,,Sacramento Kings,L,,98,102,36,19,L 3,
56,Denver Nuggets,"Thu, Feb 22, 2024",9:00p,,Box Score,,Washington Wizards,W,,130,110,37,19,W 1,
57,Denver Nuggets,"Fri, Feb 23, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,127,112,38,19,W 2,
58,Denver Nuggets,"Sun, Feb 25, 2024",7:00p,,Box Score,@,Golden State Warriors,W,,119,103,39,19,W 3,
59,Denver Nuggets,"Wed, Feb 28, 2024",9:00p,,Box Score,,Sacramento Kings,W,,117,96,40,19,W 4,
60,Denver Nuggets,"Thu, Feb 29, 2024",10:00p,,Box Score,,Miami Heat,W,,103,97,41,19,W 5,
61,Denver Nuggets,"Sat, Mar 2, 2024",8:30p,,Box Score,@,Los Angeles Lakers,W,,124,114,42,19,W 6,
62,Denver Nuggets,"Tue, Mar 5, 2024",10:00p,,Box Score,,Phoenix Suns,L,OT,107,117,42,20,L 1,
63,Denver Nuggets,"Thu, Mar 7, 2024",10:00p,,Box Score,,Boston Celtics,W,,115,109,43,20,W 1,
64,Denver Nuggets,"Sat, Mar 9, 2024",9:00p,,Box Score,,Utah Jazz,W,,142,121,44,20,W 2,
65,Denver Nuggets,"Mon, Mar 11, 2024",9:00p,,Box Score,,Toronto Raptors,W,,125,119,45,20,W 3,
66,Denver Nuggets,"Wed, Mar 13, 2024",7:30p,,Box Score,@,Miami Heat,W,,100,88,46,20,W 4,
67,Denver Nuggets,"Fri, Mar 15, 2024",8:30p,,Box Score,@,San Antonio Spurs,W,,117,106,47,20,W 5,
68,Denver Nuggets,"Sun, Mar 17, 2024",3:30p,,Box Score,@,Dallas Mavericks,L,,105,107,47,21,L 1,
69,Denver Nuggets,"Tue, Mar 19, 2024",9:00p,,Box Score,@,Minnesota Timberwolves,W,,115,112,48,21,W 1,
70,Denver Nuggets,"Thu, Mar 21, 2024",9:00p,,Box Score,,New York Knicks,W,,113,100,49,21,W 2,
71,Denver Nuggets,"Sat, Mar 23, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,114,111,50,21,W 3,
72,Denver Nuggets,"Mon, Mar 25, 2024",9:00p,,Box Score,,Memphis Grizzlies,W,,128,103,51,21,W 4,
73,Denver Nuggets,"Wed, Mar 27, 2024",10:00p,,Box Score,,Phoenix Suns,L,,97,104,51,22,L 1,
74,Denver Nuggets,"Fri, Mar 29, 2024",9:00p,,Box Score,,Minnesota Timberwolves,L,,98,111,51,23,L 2,
75,Denver Nuggets,"Sun, Mar 31, 2024",3:30p,,Box Score,,Cleveland Cavaliers,W,,130,101,52,23,W 1,
76,Denver Nuggets,"Tue, Apr 2, 2024",9:00p,,Box Score,,San Antonio Spurs,W,,110,105,53,23,W 2,
77,Denver Nuggets,"Thu, Apr 4, 2024",10:00p,,Box Score,@,Los Angeles Clippers,L,,100,102,53,24,L 1,
78,Denver Nuggets,"Sat, Apr 6, 2024",9:00p,,Box Score,,Atlanta Hawks,W,,142,110,54,24,W 1,
79,Denver Nuggets,"Tue, Apr 9, 2024",9:00p,,Box Score,@,Utah Jazz,W,,111,95,55,24,W 2,
80,Denver Nuggets,"Wed, Apr 10, 2024",10:00p,,Box Score,,Minnesota Timberwolves,W,,116,107,56,24,W 3,
81,Denver Nuggets,"Fri, Apr 12, 2024",8:00p,,Box Score,@,San Antonio Spurs,L,,120,121,56,25,L 1,
82,Denver Nuggets,"Sun, Apr 14, 2024",3:30p,,Box Score,@,Memphis Grizzlies,W,,126,111,57,25,W 1,
1,Minnesota Timberwolves,"Wed, Oct 25, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,94,97,0,1,L 1,
2,Minnesota Timberwolves,"Sat, Oct 28, 2023",8:00p,,Box Score,,Miami Heat,W,,106,90,1,1,W 1,
3,Minnesota Timberwolves,"Mon, Oct 30, 2023",7:30p,,Box Score,@,Atlanta Hawks,L,,113,127,1,2,L 1,
4,Minnesota Timberwolves,"Wed, Nov 1, 2023",8:00p,,Box Score,,Denver Nuggets,W,,110,89,2,2,W 1,
5,Minnesota Timberwolves,"Sat, Nov 4, 2023",8:00p,,Box Score,,Utah Jazz,W,,123,95,3,2,W 2,
6,Minnesota Timberwolves,"Mon, Nov 6, 2023",8:00p,,Box Score,,Boston Celtics,W,OT,114,109,4,2,W 3,
7,Minnesota Timberwolves,"Wed, Nov 8, 2023",8:00p,,Box Score,,New Orleans Pelicans,W,,122,101,5,2,W 4,
8,Minnesota Timberwolves,"Fri, Nov 10, 2023",8:00p,,Box Score,@,San Antonio Spurs,W,,117,110,6,2,W 5,In-Season Tournament
9,Minnesota Timberwolves,"Sun, Nov 12, 2023",8:30p,,Box Score,@,Golden State Warriors,W,,116,110,7,2,W 6,
10,Minnesota Timberwolves,"Tue, Nov 14, 2023",10:00p,,Box Score,@,Golden State Warriors,W,,104,101,8,2,W 7,In-Season Tournament
11,Minnesota Timberwolves,"Wed, Nov 15, 2023",9:00p,,Box Score,@,Phoenix Suns,L,,115,133,8,3,L 1,
12,Minnesota Timberwolves,"Sat, Nov 18, 2023",7:00p,,Box Score,@,New Orleans Pelicans,W,,121,120,9,3,W 1,
13,Minnesota Timberwolves,"Mon, Nov 20, 2023",8:00p,,Box Score,,New York Knicks,W,,117,100,10,3,W 2,
14,Minnesota Timberwolves,"Wed, Nov 22, 2023",8:00p,,Box Score,,Philadelphia 76ers,W,,112,99,11,3,W 3,
15,Minnesota Timberwolves,"Fri, Nov 24, 2023",8:00p,,Box Score,,Sacramento Kings,L,,111,124,11,4,L 1,In-Season Tournament
16,Minnesota Timberwolves,"Sun, Nov 26, 2023",6:00p,,Box Score,@,Memphis Grizzlies,W,,119,97,12,4,W 1,
17,Minnesota Timberwolves,"Tue, Nov 28, 2023",8:00p,,Box Score,,Oklahoma City Thunder,W,,106,103,13,4,W 2,In-Season Tournament
18,Minnesota Timberwolves,"Thu, Nov 30, 2023",8:00p,,Box Score,,Utah Jazz,W,,101,90,14,4,W 3,
19,Minnesota Timberwolves,"Sat, Dec 2, 2023",5:00p,,Box Score,@,Charlotte Hornets,W,,123,117,15,4,W 4,
20,Minnesota Timberwolves,"Wed, Dec 6, 2023",7:30p,,Box Score,,San Antonio Spurs,W,,102,94,16,4,W 5,
21,Minnesota Timberwolves,"Fri, Dec 8, 2023",8:00p,,Box Score,@,Memphis Grizzlies,W,,127,103,17,4,W 6,
22,Minnesota Timberwolves,"Mon, Dec 11, 2023",8:00p,,Box Score,@,New Orleans Pelicans,L,,107,121,17,5,L 1,
23,Minnesota Timberwolves,"Thu, Dec 14, 2023",8:30p,,Box Score,@,Dallas Mavericks,W,,119,101,18,5,W 1,
24,Minnesota Timberwolves,"Sat, Dec 16, 2023",8:00p,,Box Score,,Indiana Pacers,W,,127,109,19,5,W 2,
25,Minnesota Timberwolves,"Mon, Dec 18, 2023",7:30p,,Box Score,@,Miami Heat,W,,112,108,20,5,W 3,
26,Minnesota Timberwolves,"Wed, Dec 20, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,,113,127,20,6,L 1,
27,Minnesota Timberwolves,"Thu, Dec 21, 2023",9:00p,,Box Score,,Los Angeles Lakers,W,,118,111,21,6,W 1,
28,Minnesota Timberwolves,"Sat, Dec 23, 2023",10:00p,,Box Score,@,Sacramento Kings,W,,110,98,22,6,W 2,
29,Minnesota Timberwolves,"Tue, Dec 26, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,106,129,22,7,L 1,
30,Minnesota Timberwolves,"Thu, Dec 28, 2023",8:00p,,Box Score,,Dallas Mavericks,W,,118,110,23,7,W 1,
31,Minnesota Timberwolves,"Sat, Dec 30, 2023",8:00p,,Box Score,,Los Angeles Lakers,W,,108,106,24,7,W 2,
32,Minnesota Timberwolves,"Mon, Jan 1, 2024",3:00p,,Box Score,@,New York Knicks,L,,106,112,24,8,L 1,
33,Minnesota Timberwolves,"Wed, Jan 3, 2024",8:00p,,Box Score,,New Orleans Pelicans,L,,106,117,24,9,L 2,
34,Minnesota Timberwolves,"Fri, Jan 5, 2024",8:00p,,Box Score,@,Houston Rockets,W,,122,95,25,9,W 1,
35,Minnesota Timberwolves,"Sun, Jan 7, 2024",7:30p,,Box Score,@,Dallas Mavericks,L,,108,115,25,10,L 1,
36,Minnesota Timberwolves,"Tue, Jan 9, 2024",7:00p,,Box Score,@,Orlando Magic,W,,113,92,26,10,W 1,
37,Minnesota Timberwolves,"Wed, Jan 10, 2024",7:00p,,Box Score,@,Boston Celtics,L,OT,120,127,26,11,L 1,
38,Minnesota Timberwolves,"Fri, Jan 12, 2024",8:00p,,Box Score,,Portland Trail Blazers,W,,116,93,27,11,W 1,
39,Minnesota Timberwolves,"Sun, Jan 14, 2024",7:00p,,Box Score,,Los Angeles Clippers,W,,109,105,28,11,W 2,
40,Minnesota Timberwolves,"Wed, Jan 17, 2024",7:00p,,Box Score,@,Detroit Pistons,W,,124,117,29,11,W 3,
41,Minnesota Timberwolves,"Thu, Jan 18, 2024",10:00p,,Box Score,,Memphis Grizzlies,W,,118,103,30,11,W 4,
42,Minnesota Timberwolves,"Sat, Jan 20, 2024",8:00p,,Box Score,,Oklahoma City Thunder,L,,97,102,30,12,L 1,
43,Minnesota Timberwolves,"Mon, Jan 22, 2024",8:00p,,Box Score,,Charlotte Hornets,L,,125,128,30,13,L 2,
44,Minnesota Timberwolves,"Wed, Jan 24, 2024",7:00p,,Box Score,@,Washington Wizards,W,,118,107,31,13,W 1,
45,Minnesota Timberwolves,"Thu, Jan 25, 2024",7:30p,,Box Score,@,Brooklyn Nets,W,,96,94,32,13,W 2,
46,Minnesota Timberwolves,"Sat, Jan 27, 2024",8:30p,,Box Score,@,San Antonio Spurs,L,,112,113,32,14,L 1,
47,Minnesota Timberwolves,"Mon, Jan 29, 2024",8:00p,,Box Score,@,Oklahoma City Thunder,W,,107,101,33,14,W 1,
48,Minnesota Timberwolves,"Wed, Jan 31, 2024",8:00p,,Box Score,,Dallas Mavericks,W,,121,87,34,14,W 2,
49,Minnesota Timberwolves,"Fri, Feb 2, 2024",8:00p,,Box Score,,Orlando Magic,L,,106,108,34,15,L 1,
50,Minnesota Timberwolves,"Sun, Feb 4, 2024",7:00p,,Box Score,,Houston Rockets,W,,111,90,35,15,W 1,
51,Minnesota Timberwolves,"Tue, Feb 6, 2024",8:00p,,Box Score,@,Chicago Bulls,L,OT,123,129,35,16,L 1,
52,Minnesota Timberwolves,"Thu, Feb 8, 2024",8:00p,,Box Score,@,Milwaukee Bucks,W,,129,105,36,16,W 1,
53,Minnesota Timberwolves,"Mon, Feb 12, 2024",10:30p,,Box Score,@,Los Angeles Clippers,W,,121,100,37,16,W 2,
54,Minnesota Timberwolves,"Tue, Feb 13, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,121,109,38,16,W 3,
55,Minnesota Timberwolves,"Thu, Feb 15, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,128,91,39,16,W 4,
56,Minnesota Timberwolves,"Fri, Feb 23, 2024",10:00p,,Box Score,,Milwaukee Bucks,L,,107,112,39,17,L 1,
57,Minnesota Timberwolves,"Sat, Feb 24, 2024",9:00p,,Box Score,,Brooklyn Nets,W,,101,86,40,17,W 1,
58,Minnesota Timberwolves,"Tue, Feb 27, 2024",8:00p,,Box Score,,San Antonio Spurs,W,,114,105,41,17,W 2,
59,Minnesota Timberwolves,"Wed, Feb 28, 2024",8:00p,,Box Score,,Memphis Grizzlies,W,,110,101,42,17,W 3,
60,Minnesota Timberwolves,"Fri, Mar 1, 2024",8:00p,,Box Score,,Sacramento Kings,L,OT,120,124,42,18,L 1,
61,Minnesota Timberwolves,"Sun, Mar 3, 2024",3:30p,,Box Score,,Los Angeles Clippers,L,,88,89,42,19,L 2,
62,Minnesota Timberwolves,"Mon, Mar 4, 2024",8:00p,,Box Score,,Portland Trail Blazers,W,,119,114,43,19,W 1,
63,Minnesota Timberwolves,"Thu, Mar 7, 2024",7:00p,,Box Score,@,Indiana Pacers,W,,113,111,44,19,W 2,
64,Minnesota Timberwolves,"Fri, Mar 8, 2024",7:30p,,Box Score,@,Cleveland Cavaliers,L,OT,104,113,44,20,L 1,
65,Minnesota Timberwolves,"Sun, Mar 10, 2024",9:30p,,Box Score,@,Los Angeles Lakers,L,,109,120,44,21,L 2,
66,Minnesota Timberwolves,"Tue, Mar 12, 2024",10:00p,,Box Score,@,Los Angeles Clippers,W,,118,100,45,21,W 1,
67,Minnesota Timberwolves,"Sat, Mar 16, 2024",9:30p,,Box Score,@,Utah Jazz,W,,119,100,46,21,W 2,
68,Minnesota Timberwolves,"Mon, Mar 18, 2024",9:00p,,Box Score,@,Utah Jazz,W,,114,104,47,21,W 3,
69,Minnesota Timberwolves,"Tue, Mar 19, 2024",9:00p,,Box Score,,Denver Nuggets,L,,112,115,47,22,L 1,
70,Minnesota Timberwolves,"Fri, Mar 22, 2024",8:00p,,Box Score,,Cleveland Cavaliers,W,,104,91,48,22,W 1,
71,Minnesota Timberwolves,"Sun, Mar 24, 2024",7:00p,,Box Score,,Golden State Warriors,W,,114,110,49,22,W 2,
72,Minnesota Timberwolves,"Wed, Mar 27, 2024",8:00p,,Box Score,,Detroit Pistons,W,,106,91,50,22,W 3,
73,Minnesota Timberwolves,"Fri, Mar 29, 2024",9:00p,,Box Score,@,Denver Nuggets,W,,111,98,51,22,W 4,
74,Minnesota Timberwolves,"Sun, Mar 31, 2024",7:00p,,Box Score,,Chicago Bulls,L,,101,109,51,23,L 1,
75,Minnesota Timberwolves,"Tue, Apr 2, 2024",8:00p,,Box Score,,Houston Rockets,W,,113,106,52,23,W 1,
76,Minnesota Timberwolves,"Wed, Apr 3, 2024",8:00p,,Box Score,,Toronto Raptors,W,,133,85,53,23,W 2,
77,Minnesota Timberwolves,"Fri, Apr 5, 2024",10:00p,,Box Score,@,Phoenix Suns,L,,87,97,53,24,L 1,
78,Minnesota Timberwolves,"Sun, Apr 7, 2024",10:00p,,Box Score,@,Los Angeles Lakers,W,,127,117,54,24,W 1,
79,Minnesota Timberwolves,"Tue, Apr 9, 2024",8:00p,,Box Score,,Washington Wizards,W,,130,121,55,24,W 2,
80,Minnesota Timberwolves,"Wed, Apr 10, 2024",10:00p,,Box Score,@,Denver Nuggets,L,,107,116,55,25,L 1,
81,Minnesota Timberwolves,"Fri, Apr 12, 2024",8:00p,,Box Score,,Atlanta Hawks,W,,109,106,56,25,W 1,
82,Minnesota Timberwolves,"Sun, Apr 14, 2024",3:30p,,Box Score,,Phoenix Suns,L,,106,125,56,26,L 1,
